ref_time=639979 µs blas_time=138200 µs n_weights=13107200 total_mem=125337600
bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time,attn_dry
bob,0.0001,1310,1310,6,119784,119520,544,234,1687,157
bob,0.0002,2330,2330,14,213240,213944,1424,443,2910,310
bob,0.0003,4144,4144,34,380440,374016,3536,867,5127,610
bob,0.0006,7370,7370,92,699704,704544,10136,1689,9380,1190
bob,0.0010,13107,13107,339,1266512,1272320,31520,3277,16764,2352
bob,0.0018,23308,23308,1028,2112808,2113776,95936,6974,29611,4995
bob,0.0032,41448,41448,3259,3500568,3501624,313736,15884,53861,10911
bob,0.0056,73707,73707,10251,6276616,6280576,912840,35211,98183,23465
bob,0.0100,131072,131072,32730,11971624,11973472,2818656,81843,180655,57210
bob,0.0178,233082,233082,103033,21454240,21473336,9187304,177855,357950,124254
bob,0.0316,414486,414486,317194,33776528,33746872,20208688,363000,650645,242130
bob,0.0562,737072,737072,939647,49013552,49016016,30671624,814605,1369620,528810
bob,0.1000,1310719,1310719,2428431,65051816,65080856,32824896,1647120,2363700,998608
bob,0.1778,2330826,2330826,4465005,76222096,76222096,32874088,2997694,4780146,1790527
bob,0.3162,4144860,4144860,5113922,79997208,79999760,32874088,5311837,9562476,3223868
bob,0.5623,7370719,7370719,5120001,80423656,80425328,32874088,11512464,12396708,7130628
bob,1.0000,13107200,13107200,5120001,80433512,80433512,32874088,26790027,22212355,14900808
