bob,density,q_nz,k_nz,v_nz,mem_k,mem_q,mem_v,attn_time,gen_time
bob,0.001,6553,6553,154,632824,629744,14888,1575,8506
bob,0.010,65536,65536,16137,5977768,5985512,1381792,36369,87268
bob,0.020,131072,131072,64471,11876672,11879400,5504240,102493,178519
bob,0.030,196608,196608,142513,16260656,16272624,9471720,175300,295583
bob,0.040,262144,262144,249255,19819464,19844544,12666120,264529,413366
bob,0.050,327680,327680,378648,22838304,22855640,14623064,339415,465353
bob,0.060,393216,393216,527403,25450408,25430344,15645448,461483,655505
bob,0.070,458752,458752,691239,27689920,27690800,16098824,518743,677826
bob,0.080,524288,524288,863465,29524632,29523928,16286000,610573,794087
bob,0.090,589824,589824,1037675,31140136,31140752,16378664,703947,983001
bob,0.100,655360,655360,1213784,32504312,32519008,16413336,798163,1031983
bob,0.110,720896,720896,1386026,33691960,33695040,16426800,888009,1154375
bob,0.120,786432,786432,1548295,34717600,34696656,16433752,973676,1279097
bob,0.130,851968,851968,1699818,35514264,35539344,16435336,1055325,1404955
bob,0.140,917504,917504,1839449,36289016,36227856,16436392,1141501,1645246
bob,0.150,983040,983040,1963855,36869376,36847376,16437008,1226380,1668271
bob,0.160,1048576,1048576,2073950,37392800,37375024,16436920,1308871,1787853
bob,0.170,1114112,1114112,2167664,37802792,37819072,16437008,1393361,1927649
bob,0.180,1179648,1179648,2249085,38188320,38168608,16436920,1472448,2060261
bob,0.190,1245184,1245184,2315901,38492272,38494032,16437096,1551034,2338354
bob,0.200,1310720,1310720,2372655,38769824,38744040,16437096,1632064,2322947
bob,0.210,1376256,1376256,2417316,38983576,38963512,16437096,1743232,2492525
bob,0.220,1441792,1441792,2452907,39161776,39182808,16437096,1791989,2612984
bob,0.230,1507328,1507328,2481482,39331704,39329416,16437096,1897409,2747800
bob,0.240,1572864,1572864,2502725,39465376,39469072,16437096,1964665,2899306
bob,0.250,1638400,1638400,2519184,39589632,39573880,16437096,2046256,3048792
bob,0.260,1703936,1703936,2531094,39668040,39673496,16437096,2132058,3377098
bob,0.270,1769472,1769472,2539886,39755952,39756040,16437096,2218100,3371565
bob,0.280,1835008,1835008,2546158,39828288,39824064,16437096,2312588,3534219
bob,0.290,1900544,1900544,2550989,39883200,39894288,16437096,2431238,4090966
bob,0.300,1966080,1966080,2553710,39934592,39928608,16437096,2510826,4087176
bob,0.310,2031616,2031616,2555969,39975424,39974016,16437096,2625175,4026567
bob,0.320,2097152,2097152,2557440,40015992,40009832,16437096,2741512,4370625
bob,0.330,2162688,2162688,2558409,40037112,40040720,16437096,2794326,4362316
bob,0.340,2228224,2228224,2559027,40068176,40072312,16437096,2906203,4508838
bob,0.350,2293760,2293760,2559410,40089560,40093696,16437096,3026440,4680807
bob,0.360,2359296,2359296,2559630,40110416,40108040,16437096,3152441,4872267
bob,0.370,2424832,2424832,2559805,40129248,40124232,16437096,3255891,5061491
bob,0.380,2490368,2490368,2559859,40142624,40134264,16437096,3361658,5216466
bob,0.390,2555904,2555904,2559931,40148344,40153008,16437096,3506655,5406066
bob,0.400,2621440,2621440,2559966,40161192,40159168,16437096,3618238,5620928
bob,0.410,2686976,2686976,2559983,40165416,40167968,16437096,3747749,5804847
bob,0.420,2752512,2752512,2559986,40176856,40169728,16437096,3863577,5964431
bob,0.430,2818048,2818048,2559994,40180376,40178352,16437096,4012313,6152410
bob,0.440,2883584,2883584,2559998,40185920,40184600,16437096,4152859,6386263
bob,0.450,2949120,2949120,2560000,40190672,40188208,16437096,4281588,6559354
